Country,Count of Show Id,Latitude (generated),Longitude (generated)
Zimbabwe,1,-19.098,30.047
Vietnam,7,21.75,105.373
Venezuela,1,6.983,-64.588
Uruguay,3,-32.948,-56.249
"United States,",1,40.0792,-98.8164
United States,2818,40.0792,-98.8164
"United Kingdom,",2,52.289,-1.259
United Kingdom,419,52.289,-1.259
United Arab Emirates,14,23.9299,53.9031
Ukraine,2,49.364,32.132
Turkey,105,39.144,34.188
Thailand,61,15.688,100.845
"Taiwan, China",1,23.6091,120.8353
Taiwan,81,23.6091,120.8353
Switzerland,2,46.7794,8.0329
Sweden,13,66.2188,19
Spain,145,40.617,-3.388
South Korea,199,36.338,128.16
South Africa,30,-31.7,23.441
Singapore,23,1.3389,103.8297
Senegal,1,15.044,-15.081
Saudi Arabia,8,24.191,44.32
Russia,15,64.736,104.062
Romania,6,45.933,25.119
"Poland,",1,52.442,19.72
Poland,24,52.442,19.72
Philippines,75,17.181,121.256
Peru,4,-12.664,-72.98
Pakistan,18,28.1854,66.6429
Norway,11,61.3701,9.3031
Nigeria,95,9.3417,7.678
New Zealand,12,-42.558,172.377
Netherlands,19,52.1704,5.0102
Namibia,1,-21.276,17.219
Mozambique,1,-13.852,38.042
Mexico,110,22.925,-101.68
Mauritius,1,-20.2529,57.5902
Malaysia,22,4.416,102.099
Luxembourg,1,49.671,6.113
Lebanon,15,34.161,36.021
Kuwait,6,29.3169,47.4272
Kenya,3,0.806,38.166
Jordan,2,30.681,36.279
Japan,245,35.962,137.855
Italy,45,44.3713,11.1084
Israel,13,30.992,34.834
Ireland,10,53.214,-7.588
Indonesia,79,-0.739,114.045
India,972,22.741,78.236
Iceland,5,64.826,-18.417
Hungary,4,47.174,19.618
"Hong Kong, China",16,22.4114,114.0599
Hong Kong,53,22.4114,114.0599
Guatemala,1,15.124,-90.711
Ghana,3,7.258,-1.062
Germany,67,51.3819,9.9877
Georgia,1,42.05,43.576
France,124,46.656,2.543
Finland,1,62.716,26.192
Egypt,106,26.16,28.742
Denmark,13,56.113,9.096
Cyprus,1,34.894,32.928
Croatia,1,45.754,16.385
Colombia,35,3.794,-73.606
"China, Taiwan",2,23.6091,120.8353
"China, Hong Kong",14,22.4114,114.0599
China,66,35.1753,99.3877
Chile,14,-23.176,-69.201
Canada,181,59.2067,-111.1937
Cameroon,1,4.4,12.131
Cambodia,1,12.69,104.444
Bulgaria,1,42.625,24.521
Brazil,77,-11.694,-48.978
Belgium,9,50.6745,4.4588
Belarus,1,53.3292,27.9492
Bangladesh,3,24.598,90.1963
Austria,5,47.65,14.705
Australia,87,-24.578,133.582
Argentina,56,-33.166,-64.31
", South Korea",1,36.338,128.16
